number,law,method,stage,object,customer,price_rub,posted,region
0320400000126000009,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка учебн ого стенда ""Локальные компьютерные сети""","""ДАЛЬНЕВОСТОЧНОЕ МОРЕХОДНОЕ УЧИЛИЩЕ"" (ФИЛИАЛ) ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ РЫБОХОЗЯЙСТВЕННЫЙ УНИВЕРСИТЕТ""",1021700.0,13.04.2026,Не определён
0816500000626005550,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка и монтаж тренажера автоматизированного рабочего места бурильщика: Тренажер-имитатор технологии бурения нефтяных и газовых скважины с учебн ым классом для создания современных мастерских,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",13770000.0,31.03.2026,Саха
0319100014126000015,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия для учебн ых классов (магнитно-маркерная доска),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СПЕЦИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ № 2 МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""",45789.06,16.04.2026,Не определён
0338100001826000108,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Оборудование учебное лабораторное - оборудование лаборатории физики,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАМЧАТСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""",1204000.0,17.04.2026,Не определён
0338100001826000107,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Оборудование учебное для отработки практических навыков - Учебное оборудование ""Машинное зрение""","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАМЧАТСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""",955870.0,17.04.2026,Не определён
0128200000126002229,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка книжной продукции,МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ,1700000.0,16.04.2026,Владимирской
0358100022826000125,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Оказание услуг по техническому обслуживанию и ремонту медицинского оборудован ия,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОСТОВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",18912553.0,15.04.2026,Не определён
0335100006526000033,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка комплекта учебн о-лабораторного оборудован ия ""Электричество и магнетизм"" для нужд ФГБОУ ВО ""КГТУ""","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЛИНИНГРАДСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""",615974.33,14.04.2026,Не определён
32615954831,223-ФЗ,Иной способ,Закупка завершена,"Расходные материалы и оборудование для проведения практической подготовки  в 2025-2026 учебн ом году по специальности 13.02.03 Электрические станции, сети и системы, 13.02.06 Релеиная защита и автоматизация электроэнергетических систем","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ  УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""СТРОИТЕЛЬНО-ЭНЕРГЕТИЧЕСКИЙ КОЛЛЕДЖ (ОБРАЗОВАТЕЛЬНО-ПРОИЗВОДСТВЕННЫЙ КАМПУС) ИМ. П. МАЧНЕВА""",386925.0,27.04.2026,Самарской
32615954827,223-ФЗ,Иной способ,Закупка завершена,"Расходные материалы и оборудование для проведения практической подготовки  в 2025-2026 учебн ом году по специальности 23.01.17 Мастер по ремонту и обслуживанию автомобилеи, 23.02.07 Техническое обслуживание и ремонт двигателеи, 23.02.04 Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудован ия.","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ  УЧРЕЖДЕНИЕ САМАРСКОЙ ОБЛАСТИ ""СТРОИТЕЛЬНО-ЭНЕРГЕТИЧЕСКИЙ КОЛЛЕДЖ (ОБРАЗОВАТЕЛЬНО-ПРОИЗВОДСТВЕННЫЙ КАМПУС) ИМ. П. МАЧНЕВА""",996498.0,27.04.2026,Самарской
0372200081726000022,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка оборудован ия для кабинетов Физики в 2026 году,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ПЕТЕРГОФСКАЯ ГИМНАЗИЯ ИМПЕРАТОРА АЛЕКСАНДРА II,856409.78,20.04.2026,Не определён
0358200002026000006,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Оказание услуг по лабораторным испытаниям и измерениям электро оборудован ия учебн ого корпуса ГБПОУ РО «ТТТПиТ».,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РОСТОВСКОЙ ОБЛАСТИ ""ТАГАНРОГСКИЙ ТЕХНОЛОГИЧЕСКИЙ ТЕХНИКУМ ПИТАНИЯ И ТОРГОВЛИ""",56555.36,16.04.2026,Ростовской
0124200000626001392,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн о-методического оборудован ия для кабинета физики в рамках реализации федерального проекта «Все лучшее детям» национального проекта «Молодёжь и дети» (шифр:29-2026-нр5559),КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ,7626555.0,13.03.2026,Архангельской
0372200284426000030,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка справочной и учебн ой литературы по специальностям на основе заявок преподавателей и учебн ых планов для библиотек, расположенных по адресам: Санкт-Петербург, Б.Сампсониевский пр., д. 61, лит А, Санкт-Петербург, Кондратьевский пр., д. 46, лит.А","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АКАДЕМИЯ ИНЖЕНЕРНЫХ ТЕХНОЛОГИЙ И УПРАВЛЕНИЯ""",1198248.06,20.04.2026,Санкт-Петербург
32615954456,223-ФЗ,Иной способ,Закупка завершена,"Поставка учебн о-производственного оборудован ия для проведения практических занятий и учебн ых практик на специальности 08.02.13 «Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции»","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""НОВОРОССИЙСКИЙ КОЛЛЕДЖ СТРОИТЕЛЬСТВА И ЭКОНОМИКИ""",110500.0,27.04.2026,Краснодарского
32615954428,223-ФЗ,Иной способ,Закупка завершена,"Поставка учебн о-производственного оборудован ия для проведения практических занятий и учебн ых практик на специальности 08.02.07 «Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции»","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""НОВОРОССИЙСКИЙ КОЛЛЕДЖ СТРОИТЕЛЬСТВА И ЭКОНОМИКИ""",237200.0,27.04.2026,Краснодарского
0145200000426000500,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка оборудован ия в рамках регионального проекта «Все лучшее детям» по оснащению предметных кабинетов общеобразовательных организаций Сосновоборского городского округа средствами обучения и воспитания для реализации общеобразовательных программ по учебн ым предметам «Изобразительное искусство», «Музыка» и «Физика» (Акустические системы)",КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ,698047.1,10.04.2026,Ленинградской
0345200004226000001,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Учебное оборудование,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЛЕНИНГРАДСКОЙ ОБЛАСТИ ""СЛАНЦЕВСКОЕ  СПЕЦИАЛЬНОЕ <span class='highlightColor'>УЧЕБН</span>О-ВОСПИТАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЗАКРЫТОГО ТИПА""",19444.3,16.04.2026,Ленинградской
0372200082126000017,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка оборудован ия для оснащения предметного кабинета «ИЗО» в ГБОУ СОШ №390 Санкт-Петербурга в 2026 году,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №390 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,74000.0,20.04.2026,Санкт-Петербург
0119200000126006209,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"ЭА-№-5960/26 «Поставка средств обучения и воспитания для оснащения предметных кабинетов общеобразовательных организаций по учебн ому предмету ""Физика"" в рамках реализации мероприятий регионального проекта ""Всё лучшее детям"" национального проекта ""Молодежь и дети"" в 2026г.»",АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,490615.13,09.04.2026,Красноярского
0356200010026000022,44-ФЗ,Электронный аукцион,Определение поставщика отменено,Поставка лабораторного оборудован ия для создания в учебн о-производственных мастерских и лабораториях рабочих мест для лиц с ОВЗ,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЧАЙКОВСКИЙ ИНДУСТРИАЛЬНЫЙ КОЛЛЕДЖ""",804000.0,16.04.2026,Не определён
32615952961,223-ФЗ,Иной способ,Закупка завершена,Поставка оборудован ия для учебн ого процесса,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШКОЛА № 19""",2042350.0,27.04.2026,Не определён
0142200001326008871,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка учебн ого оборудован ия для профессионального медицинского обучения в рамках федерального проекта «Профессионалитет» (ИГК 000000Ю907325QMW0002),КОМИТЕТ ПО ОРГАНИЗАЦИИ ТОРГОВ САМАРСКОЙ ОБЛАСТИ,2717400.0,17.04.2026,Самарской
0377300038626000007,44-ФЗ,Электронный аукцион,Определение поставщика отменено,Оснащение мебелью и оборудование м плавательного бассейна в с. Майма Майминского района Республики Алтай,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МАЙМИНСКИЙ РАЙОН""",2703161.1,24.04.2026,Не определён
0711200002726000003,44-ФЗ,"Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона №",Определение поставщика завершено,,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ МИНИСТЕРСТВА ТРУДА, ЗАНЯТОСТИ И СОЦИАЛЬНОЙ ЗАЩИТЫ РЕСПУБЛИКИ ТАТАРСТАН В ЛАИШЕВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ""",815000.0,27.04.2026,Татарстан
0328300032826000228,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка мебели для обеспечения учебн ого процесса,УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ ГОРОДА ВЛАДИМИРА,1178577.26,16.04.2026,Не определён
0122200002526001243,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка учебн ых стендов для оснащения мастерской ""Обслуживание и ремонт оборудован ия релейной защиты и автоматики""",КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ,4628333.35,15.04.2026,Хабаровского
0365300018326000018,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка обучающих материалов для нужд Муниципального казённого общеобразовательного учреждения «Новопокровской основной общеобразовательной школы», в рамках реализации мероприятий по модернизации школьных систем образования (оснащение отремонтированных зданий и (или) помещений государственных и муниципальных общеобразовательных организаций современными средствами обучения и воспитания.","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОПОКРОВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",544852.68,16.04.2026,Не определён
0365100014826000196,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Оборудование для лечебной, учебн ой и научной деятельности: книги, учебн ики, печатные материалы  для ВО","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",382001.35,14.04.2026,Не определён
0362300302026000005,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика отменено,"Поставка средств обучения и воспитания, необходимыми для реализации образовательных программ, 
в том числе по учебн ым предметам «Труд (Технология)» в целях реализации Программы перспективного 
развития системы образования в муниципальном округе Ревда на 2025 - 2030 годы (в части муниципального бюджета)
 - Станка фрезерно-гравировального с числовым программным управлением, оснащенным защитным щитком-экраном, 
стол металлический под станок, ноутбук","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1""",695000.0,19.04.2026,Не определён
0372500000526000027,44-ФЗ,Электронный аукцион,Определение поставщика отменено,Поставка интерактивного учебн ого оборудование,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 54 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,769542.66,24.03.2026,Санкт-Петербург
0372100015526000064,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Оказание услуг (выполнение работ) направленных на выполнение функций учреждения (дополнительное профессиональное образование педагогических работников учреждения),"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АКАДЕМИЯ МАШИНОСТРОЕНИЯ ИМЕНИ Ж.Я.КОТИНА""",533100.0,17.04.2026,Санкт-Петербург
0843500000226001748,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка учебн ого оборудован ия на объект: Капитальный ремонт здания МКОУ ""Лесниковский лицей имени Героя России Тюнина А.В."", расположенного по адресу: Курганская область, Кетовский район, мкрн. КГСХА, д.9","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""",115430.92,09.04.2026,Курганской
0366200035626002410,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка модульных комплектов учебн ого оборудован ия,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""",3695000.0,09.04.2026,Тульской
0376100002726000014,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия для системы видеонаблюдения на объекте Учебн ый корпус № 2 ФГБОУ ВО «МГТУ»,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МАЙКОПСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""",1521535.65,16.04.2026,Не определён
0145200000426000546,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка оборудован ия для оснащение общеобразовательных организаций средствами обучения
и воспитания для реализации учебн ых предметов в рамках регионального проекта ""Все
лучшее детям (Ленинградская область)"" государственной программы Ленинградской
области ""Современное образование Ленинградской области"" (Кабинет Музыки - Комплект портретов отечественных и зарубежных композиторов)",КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ,3410.0,15.04.2026,Ленинградской
32615949958,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Закупка завершена,Поставка оборудован ия для оснащения учебн ого участка аддитивных установок по специальности «Аддитивные технологии» в ГАПОУ КП №11 (3D принтеры),"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""КОЛЛЕДЖ ПРЕДПРИНИМАТЕЛЬСТВА № 11""",400666.3,24.04.2026,Не определён
32615942638,223-ФЗ,Иной способ,Закупка завершена,Поставка учебн ого оборудован ия,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ Г. САЯНОГОРСК ЛИЦЕЙ № 7,803723.06,23.04.2026,Не определён
0372200250726000020,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка уличного игрового оборудован ия в Государственное бюджетное дошкольное образовательное учреждение детский сад № 79 компенсирующего вида Фрунзенского района Санкт-Петербурга ""Семицветик"" в 2026 году","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 79 КОМПЕНСИРУЮЩЕГО ВИДА ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ""СЕМИЦВЕТИК""",3881669.83,16.04.2026,Санкт-Петербург
0369200037826000001,44-ФЗ,"Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона №",Определение поставщика завершено,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОПЕЙСКИЙ ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ С.В.ХОХРЯКОВА""",2494400.0,24.04.2026,Не определён
0851200000626002400,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка учебн о-лабораторного оборудован ия в рамках федерального проекта ""Профессионалитет""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""",14460000.0,10.04.2026,Новосибирской
0373100029526000095,44-ФЗ,Электронный аукцион,Определение поставщика отменено,Поставка оборудован ия для обучения,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МИРЭА - РОССИЙСКИЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""",390000.0,17.04.2026,Не определён
0168300008726000041,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика отменено,Оснащение учебн ых классов в рамках реализации мероприятий модернизации школьных систем (муз. оборудование ),"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УЛЬЯНОВСКИЙ РАЙОН"" УЛЬЯНОВСКОЙ ОБЛАСТИ""",181514.67,09.04.2026,Ульяновской
0846600001526000050,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка книг для комплектования библиотечного фонда на создание модельной библиотеки на базе Новополянской сельской библиотеки МБУК «Чаплыгинская ЦБС» в целях реализации национального проекта ""Семья"" 2026 год","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИНАНСОВЫХ КОМПЕТЕНЦИЙ"" ЧАПЛЫГИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛИПЕЦКОЙ ОБЛАСТИ",1235779.18,15.04.2026,Липецкой
32615947143,223-ФЗ,Иной способ,Закупка завершена,"Поставка комплекта учебн о-лабораторного оборудован ия «Автоматика, приводы и система управления станка с ЧПУ» для нужд Стерлитамакского филиала Уфимского университета","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УФИМСКИЙ УНИВЕРСИТЕТ НАУКИ И ТЕХНОЛОГИЙ""",2129000.0,24.04.2026,Не определён
0816500000626006201,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка оборудован ия в рамках национального проекта «Молодежь и дети», для реализации мероприятия «Оснащение предметных кабинетов для реализации образовательных программ по учебн ым предметам «Физика», «Музыка» и «Изобразительное искусство» в 2026 году» (Этюдник художественный)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",10586050.0,10.04.2026,Саха
0845300015026000248,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн ого оборудован ия - конструктор (набор по робототехнике),"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВЫБОРГСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ ""ЕДИНОЕ УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКАЗАМИ""",2070000.0,14.04.2026,Ленинградской
32615947028,223-ФЗ,Иной способ,Закупка завершена,Поставка комплекта учебн ого оборудован ия «Промышленные датчики» для нужд Стерлитамакского филиала Уфимского университета,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УФИМСКИЙ УНИВЕРСИТЕТ НАУКИ И ТЕХНОЛОГИЙ""",1675942.72,24.04.2026,Не определён
0373100025226000011,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн ого оборудован ия для автомобильных мастерских в рамках оснащения после капитального ремонта ГБПОУ МТК им И.А. Лихачева,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ТЕХНОЛОГИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ И.А. ЛИХАЧЁВА""",29984709.78,16.04.2026,Не определён
0348200046726000001,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Приобретение оборудован ия для проведения практических занятий в группах по специальности ""Сестринское дело""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ОРЕХОВО-ЗУЕВСКИЙ ТЕХНИКУМ""",6809291.0,16.04.2026,Московской
32615946247,223-ФЗ,Иной способ,Закупка завершена,Поставка учебн ого оборудован ия,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №25 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ Г.УССУРИЙСКА"" УССУРИЙСКОГО ГОРОДСКОГО ОКРУГА  ПРИМОРСКОГО КРАЯ ИМЕНИ В.Г.АСАПОВА",496146.0,24.04.2026,Приморского
