number,nmck,final_price,drop_pct,winner_id,has_result
0365300076226000009,1323922.66,949000.0,28.32,120518712,1
0843500000226000245,12014.36,7199.0,40.08,3,1
0843500000226000214,52274.3,45880.0,12.23,64,1
0843500000226000158,58143.79,51000.0,12.29,242,1
0373100111225000039,987000.0,900000.0,8.81,2754071,1
0387200017525000030,935000.0,421000.0,54.97,193,1
0387200022325000412,2000000.0,1930000.0,3.5,42,1
0843500000225007887,20523.52,17850.0,13.03,140,1
0365100014825000855,396000.0,8.0,100.0,120358069,1
0843500000225007930,209930.54,139000.0,33.79,72,1
0348100099825000144,501333.33,302400.0,39.68,120305286,1
0843500000225007841,327243.68,318000.0,2.82,19,1
0365100014825000834,861609.0,269685.0,68.7,120329723,1
0373100036525000071,500186.0,420000.0,16.03,120329427,1
0335400002825000080,290400.0,175560.0,39.55,120314100,1
0366100001825000007,1625632.32,994536.0,38.82,120326651,1
0366100001825000008,638257.36,410600.0,35.67,120325565,1
0843500000225007698,25705.26,18000.0,29.98,116,1
0340100009725000109,870397.57,745000.0,14.41,2705695,1
0843500000225007681,30081.53,27000.0,10.24,56,1
0301100018425000021,2897580.0,2518135.0,13.1,10,1
0163200000325007254,938133.31,747000.0,20.37,120277982,1
0744200000225010487,752337.68,744744.44,1.01,3,1
0172200004625000249,12872210.4,12099000.0,6.01,2633132,1
0190300001925000572,2171564.99,1100000.0,49.35,120263046,1
0843500000225007508,156084.93,144000.0,7.74,231,1
0372100021125000017,3094333.33,1603919.0,48.17,50,1
0372200062925000075,204341.47,160220.0,21.59,120261040,1
0372200162725000034,9420000.0,9419000.0,0.01,52,1
0372200162725000035,9999200.0,9999200.0,0.0,60,1
0387200017525000030,935000.0,421000.0,54.97,193,1
0387200022325000412,2000000.0,1930000.0,3.5,42,1
0843500000225007887,20523.52,17850.0,13.03,140,1
0843500000225007930,209930.54,139000.0,33.79,72,1
0365100014825000855,396000.0,8.0,100.0,120358069,1
0843500000225007841,327243.68,318000.0,2.82,19,1
0348100099825000144,501333.33,302400.0,39.68,120305286,1
0365100014825000834,861609.0,269685.0,68.7,120329723,1
0373100036525000071,500186.0,420000.0,16.03,120329427,1
0335400002825000080,290400.0,175560.0,39.55,120314100,1
0366100001825000008,638257.36,410600.0,35.67,120325565,1
0366100001825000007,1625632.32,994536.0,38.82,120326651,1
0843500000225007698,25705.26,18000.0,29.98,116,1
0340100009725000109,870397.57,745000.0,14.41,2705695,1
0163200000325007254,938133.31,747000.0,20.37,120277982,1
0843500000225007681,30081.53,27000.0,10.24,56,1
0301100018425000021,2897580.0,2518135.0,13.1,10,1
0744200000225010487,752337.68,744744.44,1.01,3,1
0172200004625000249,12872210.4,12099000.0,6.01,2633132,1
0843500000225007508,156084.93,144000.0,7.74,231,1
0372100021125000017,3094333.33,1603919.0,48.17,50,1
0190300001925000572,2171564.99,1100000.0,49.35,120263046,1
0372200062925000075,204341.47,160220.0,21.59,120261040,1
0813500000125024548,223403.0,173400.0,22.38,120272482,1
0372200162725000035,9999200.0,9999200.0,0.0,60,1
0372200162725000034,9420000.0,9419000.0,0.01,52,1
0813500000125024550,280671.0,172800.0,38.43,120271950,1
0813500000125024548,223403.0,173400.0,22.38,120272482,1
0813500000125024550,280671.0,172800.0,38.43,120271950,1
0352100006725000037,1200000.0,1049000.0,12.58,120277869,1
0387200008525000232,980566.67,975664.0,0.5,120262851,1
0372100021725000106,33524911.18,20114946.71,40.0,2647296,1
0372200240925000075,94901.76,60715.94,36.02,2655121,1
0744200000225010290,694253.22,582000.0,16.17,4,1
0372200030425000169,1529130.0,1397335.0,8.62,ZK-339386,1
0813500000125024093,134750.0,99418.0,26.22,120255803,1
0372200185525000045,8113243.27,5354740.56,34.0,2660646,1
0318300017425000131,1417317.07,980000.0,30.86,120253700,1
0373100065625000130,9926500.04,7083000.0,28.65,2643080,1
0366100001825000005,860910.97,504200.0,41.43,120223636,1
0190200000325015478,1057035.0,998500.0,5.54,50,1
0372200240925000074,14179.93,8900.0,37.24,2636410,1
0321200035825000001,305200.0,244000.0,20.05,120219046,1
0843500000225007018,96103.48,78000.0,18.84,86,1
0813500000125023493,430500.0,344800.0,19.91,120189989,1
0365100014825000740,6607298.2,1210.0,99.98,120157197,1
0843500000225007105,38852.0,37900.0,2.45,239,1
0848300051725000804,8947068.9,6500000.0,27.35,3,1
0848300051725000758,2417441.25,1857303.0,23.17,3,1
0744200000225009400,760666.66,537500.0,29.34,3,1
0813500000125022925,117889.0,81100.0,31.21,120151150,1
0316300146225000012,314142.0,297000.0,5.46,167,1
0843500000225006763,327037.94,293979.0,10.11,244,1
0352100006725000037,1200000.0,1049000.0,12.58,120277869,1
0387200008525000232,980566.67,975664.0,0.5,120262851,1
0372100021725000106,33524911.18,20114946.71,40.0,2647296,1
0744200000225010290,694253.22,582000.0,16.17,4,1
0372200240925000075,94901.76,60715.94,36.02,2655121,1
0372200185525000045,8113243.27,5354740.56,34.0,2660646,1
0372200030425000169,1529130.0,1397335.0,8.62,ZK-339386,1
0318300017425000131,1417317.07,980000.0,30.86,120253700,1
0373100065625000130,9926500.04,7083000.0,28.65,2643080,1
